Orthogroup	afla	afum	anid	anig
OG0002555	F9C07_2281157	Afu2g07710	AN5827	An05g00290
OG0002556	F9C07_2281158	Afu2g07690	AN5822	An05g00280
OG0002557	F9C07_2281159	Afu2g07680	AN5823	An05g00220
OG0002558	F9C07_2229898	Afu2g07670	AN5824	An05g00200
OG0002559	F9C07_6048	Afu2g07660	AN10741	An05g00190
OG0002560	F9C07_2062802	Afu2g07640	AN5826	An05g00180
OG0002561	F9C07_6050	Afu2g07630	AN5821	An05g00170
OG0002562	F9C07_2281163	Afu2g07620	AN5820	An05g00160
OG0002563	F9C07_6053	Afu2g07600	AN5819	An05g00140
OG0002564	F9C07_6054	Afu2g07590	AN5818	An05g00130
OG0002565	F9C07_2063342	Afu2g07570	AN5817	An05g00120
OG0002566	F9C07_2146643	Afu2g07560	AN5816	An05g00110
OG0002567	F9C07_2281169	Afu2g07540	AN5814	An05g00090
OG0002568	F9C07_2281170	Afu2g07520	AN5812	An05g00070
OG0002569	F9C07_6059	Afu2g07530	AN5813	An05g00080
OG0002570	F9C07_2229912	Afu2g07510	AN5811	An05g00060
OG0002571	F9C07_6062	Afu2g07500	AN5810	An05g00050
OG0002572	F9C07_6063	Afu2g07490	AN10737	An05g00040
OG0002573	F9C07_1892513	Afu2g07480	AN5808	An05g00020
OG0002574	F9C07_2146658	Afu2g07470	AN5807	An05g00010
OG0002575	F9C07_2054082, F9C07_2281182	Afu4g04820	AN6973	
OG0002576	F9C07_13470	Afu4g04810	AN6974	An14g00010
OG0002577	F9C07_2281186	Afu4g04760	AN6975	An14g00040
OG0002578	F9C07_13469	Afu4g04800	AN12058	An14g00020
OG0002579	F9C07_2229935	Afu4g04750	AN6976	An14g00060
OG0002580	F9C07_2062246	Afu4g04745	AN6977	An14g00070
OG0002581	F9C07_2146763	Afu4g04730	AN6979	An14g00090
OG0002582	F9C07_2281192	Afu4g04720	AN6980	An14g00100
OG0002583	F9C07_13457	Afu4g04715	AN10871	An14g00110
OG0002584	F9C07_13455	Afu4g04690	AN6984	An14g00150
OG0002585	F9C07_2281197	Afu4g04670	AN6986	An14g00170
OG0002586	F9C07_2281198	Afu4g04660	AN6988	An14g00180
OG0002587	F9C07_1895830	Afu4g04650	AN10872	An14g00190
OG0002588	F9C07_1893830	Afu4g04640	AN10877	An14g00200
OG0002589	F9C07_2229949	Afu4g04620	AN10873	An14g00220
OG0002590	F9C07_13447	Afu4g04612	AN10874	An14g00230
OG0002591	F9C07_13445	Afu4g04600	AN10879	An14g00240
OG0002592	F9C07_13444	Afu4g04590	AN6996	An14g00250
OG0002593	F9C07_2229955	Afu4g04560	AN10882	An14g00260
OG0002594	F9C07_13438	Afu4g04550	AN6993	An14g00280
OG0002595	F9C07_2062113	Afu4g04540	AN12060	An14g00290
OG0002596	F9C07_2103970	Afu4g04530	AN10875	An14g00300
OG0002597	F9C07_2146895	Afu4g04520	AN7000	An14g00310
OG0002598	F9C07_2103972	Afu4g04510	AN6999	An14g00320
OG0002599	F9C07_2281213	Afu4g04502	AN6998	An14g00330
OG0002600	F9C07_13432	Afu4g04480	AN6997	An14g00340
OG0002601	F9C07_2063499	Afu4g04470	AN7001	An14g00350
OG0002602	F9C07_2146907	Afu4g04465	AN7002	An14g00360
OG0002603	F9C07_2281217	Afu4g04460	AN7003	An14g00370
OG0002604	F9C07_2146910	Afu4g04450	AN7004	An14g00380
OG0002605	F9C07_2229970	Afu4g04440	AN7005	An14g00390
OG0002606	F9C07_13426	Afu4g04430	AN7006	An14g00400
OG0002607	F9C07_13425	Afu4g04420	AN7009	An14g00410
OG0002608	F9C07_13422	Afu4g04410	AN7008	An14g00430
OG0002609	F9C07_2229975	Afu4g04390	AN7007	An14g00440
OG0002610	F9C07_2062373	Afu4g04370	AN12061	An14g00470
OG0002611	F9C07_13419	Afu4g04360	AN7015	An14g00480
OG0002612	F9C07_2146929	Afu4g04350	AN7014	An14g00500
OG0002613	F9C07_13418	Afu4g04355	AN12062	An14g00490
OG0002614	F9C07_2281228	Afu4g04330	AN7013	An14g00510
OG0002615	F9C07_2063677	Afu4g04320	AN7012	An14g00520
OG0002616	F9C07_2229982	Afu4g04318	AN7011	An14g00530
OG0002617	F9C07_13413	Afu4g04310	AN7016	An14g00540
OG0002618	F9C07_1907894	Afu4g04300	AN7017	An14g00550
OG0002619	F9C07_2281232	Afu4g04290	AN7019	An14g00560
OG0002620	F9C07_13408	Afu4g04270	AN7028	An14g00570
OG0002621	F9C07_13404	Afu4g04230	AN7026	An14g00600
OG0002622	F9C07_13402	Afu4g04220	AN7025	An14g00610
OG0002623	F9C07_2147166	Afu4g04180	AN7032	An14g00660
OG0002624	F9C07_13396	Afu4g04190	AN7033	An14g00640
OG0002625	F9C07_1904523	Afu4g04160	AN12070	An14g00670
OG0002626	F9C07_13392	Afu4g04100	AN7037	An14g00750
OG0002627	F9C07_13391	Afu4g04110	AN7031	An14g00740
OG0002628	F9C07_2281251	Afu4g04120	AN7030	An14g00710
OG0002629	F9C07_1488954, F9C07_1632639, F9C07_2281252			An03g00215
OG0002630	F9C07_2201220, F9C07_2276676	Afu7g06500		An02g00260
OG0002631	F9C07_13364	Afu4g04060	AN7042	An14g00810
OG0002632	F9C07_2063875	Afu4g04070	AN7041	An14g00800
OG0002633	F9C07_2086842	Afu4g04080	AN7039	An14g00770
OG0002634	F9C07_13359	Afu4g04090	AN7038	An14g00760
OG0002635	F9C07_2065265, F9C07_2255955		AN5555	An08g08470
OG0002636	F9C07_2067759		AN11986	An01g11510, An07g01010
OG0002637	F9C07_2154781	Afu5g00290, Afu5g07510	AN8978	
OG0002638	F9C07_2193413, F9C07_2221281	Afu6g14590	AN6926	
OG0002639	F9C07_1486954	Afu5g14560	AN9166	An03g01050
OG0002640	F9C07_3221	Afu7g04870	AN8062	An12g02120
OG0002641	F9C07_1343432, F9C07_3224			An09g01250, An11g02890
OG0002642	F9C07_2282920	Afu4g03740	AN7138	An14g01420
OG0002643	F9C07_2101889, F9C07_3262		AN7411	An01g11250
OG0002644	F9C07_2231925, F9C07_2283425	Afu4g01220	AN6441	
OG0002645	F9C07_2231934	Afu3g02070	AN0486	An01g14720
OG0002646	F9C07_2282942	Afu2g00220	AN3918	An03g01660
OG0002647	F9C07_2282945		AN5414	An10g00410, An12g06180
OG0002648	F9C07_3299	Afu3g03250	AN10602	An11g10290
OG0002649	F9C07_3303		AN4909, AN6408	An02g00680
OG0002650	F9C07_2231969	Afu1g16930	AN7989	An03g02830
OG0002651	F9C07_2155271	Afu1g17270	AN6400	An11g00220
OG0002652	F9C07_2282970	Afu6g10880	AN6394	An11g00400
OG0002653	F9C07_2282973	Afu6g10840	AN11915	An11g00410
OG0002654	F9C07_3322	Afu6g10810	AN6390	An11g00430
OG0002655	F9C07_3335	Afu4g02970	AN2477	An14g03020
OG0002656	F9C07_2217275, F9C07_3336	Afu4g03435	AN8647	
OG0002657	F9C07_2282985	Afu4g02990	AN2480	An14g03040
OG0002658	F9C07_2155398	Afu4g03000	AN2481	An14g03050
OG0002659	F9C07_1494418	Afu4g03020	AN2487	An14g03140
OG0002660	F9C07_3344	Afu4g03030	AN2485	An14g03160
OG0002661	F9C07_3345	Afu4g03050	AN2484	An14g03180
OG0002662	F9C07_3347	Afu2g16180	AN2134	An15g06560
OG0002663	F9C07_3348	Afu2g16170	AN2135	An15g06550
OG0002664	F9C07_3349	Afu2g16160	AN2136	An15g06540
OG0002665	F9C07_1494852	Afu2g16150	AN2137	An15g06500
OG0002666	F9C07_3351	Afu2g16140	AN2138	An15g06490
OG0002667	F9C07_3353	Afu2g16130	AN2139	An15g06480
OG0002668	F9C07_3354	Afu2g16120	AN2140	An15g06470
OG0002669	F9C07_1495079	Afu2g16110	AN12197	An15g06460
OG0002670	F9C07_3355	Afu2g16100	AN2141	An15g06450
OG0002671	F9C07_2282999	Afu2g16090	AN2142	An15g06440
OG0002672	F9C07_3357	Afu2g16080	AN2143	An15g06430
OG0002673	F9C07_3358	Afu2g16070	AN2144	An15g06420
OG0002674	F9C07_2283003	Afu2g16040	AN2147	An15g06390
OG0002675	F9C07_3360	Afu2g16050	AN2146	An15g06400
OG0002676	F9C07_2283005	Afu2g16030	AN2148	An15g06380
OG0002677	F9C07_2283006	Afu2g16020	AN2149	An15g06370
OG0002678	F9C07_3367	Afu2g16000	AN2151	An15g06350
OG0002679	F9C07_3368	Afu2g15990	AN2152	An15g06330
OG0002680	F9C07_2283010	Afu2g15980	AN2153	An15g06320
OG0002681	F9C07_3376	Afu2g15960	AN2155	An15g06290
OG0002682	F9C07_3377	Afu2g15950	AN2157	An15g06280
OG0002683	F9C07_3378	Afu2g15940	AN10474	An15g06260
OG0002684	F9C07_3380	Afu2g15915	AN10269	An15g06240
OG0002685	F9C07_2283022	Afu2g15910	AN10265	An15g06230
OG0002686	F9C07_3382	Afu2g15905	AN2160	An15g06220
OG0002687	F9C07_3384	Afu2g15890	AN2162	An15g06200
OG0002688	F9C07_3388	Afu2g15880	AN2163	An15g06190
OG0002689	F9C07_2283025	Afu2g15870	AN2164	An15g06180
OG0002690	F9C07_3391	Afu2g15850	AN2166	An15g06150
OG0002691	F9C07_2283029	Afu2g15840	AN2167	An15g06140
OG0002692	F9C07_2106003	Afu5g06930	AN12477	An06g02180
OG0002693	F9C07_2283034	Afu2g15830	AN2168	An15g06120
OG0002694	F9C07_2283036	Afu2g15820	AN2169	An15g06110
OG0002695	F9C07_3403	Afu2g15810	AN12198	An15g06100
OG0002696	F9C07_1496838	Afu2g15800	AN2171	An15g06080
OG0002697	F9C07_3405	Afu2g15790	AN2172	An15g06050
OG0002698	F9C07_2283040	Afu2g15780	AN2173	An15g06040
OG0002699	F9C07_2283041	Afu2g15770	AN10273	An15g06030
OG0002700	F9C07_2283042	Afu2g15760	AN10266	An15g06020
OG0002701	F9C07_3409	Afu2g15750	AN2176	An15g06010
OG0002702	F9C07_1496754	Afu2g15730	AN10267	An15g05980
OG0002703	F9C07_1496753	Afu2g15720	AN10270	An15g05970
OG0002704	F9C07_2106024	Afu2g15690	AN10272	An15g05930
OG0002705	F9C07_2283048	Afu2g15680	AN2181	An15g05920
OG0002706	F9C07_2155606	Afu2g15670	AN2182	An15g05910
OG0002707	F9C07_2202566	Afu2g15630	AN7611	An15g05820
OG0002708	F9C07_2067374	Afu2g15610	AN7609	An15g05790
OG0002709	F9C07_2069410	Afu2g15590	AN7600	An15g05770
OG0002710	F9C07_2283058	Afu2g15580	AN7601	An15g05750
OG0002711	F9C07_2283059	Afu2g15570	AN7602	An15g05740
OG0002712	F9C07_3430	Afu2g15560	AN7603	An15g05730
OG0002713	F9C07_2202573	Afu2g15540	AN7604	An15g05710
OG0002714	F9C07_2283071	Afu2g15430	AN7590	An15g05450
OG0002715	F9C07_3450	Afu2g15140	AN3888	An09g03340
OG0002716	F9C07_2232111	Afu2g15150	AN10972	An09g03350
OG0002717	F9C07_2283081	Afu2g15170	AN7583	An09g03380
OG0002718	F9C07_2232115	Afu2g15180	AN7587	An09g03440
OG0002719	F9C07_2283083	Afu2g15190	AN7588	An09g03450
OG0002720	F9C07_2283084	Afu2g15200	AN10964	An09g03470
OG0002721	F9C07_3457	Afu2g15210	AN10963	An09g03480
OG0002722	F9C07_3458	Afu2g15220	AN10962	An09g03490
OG0002723	F9C07_3459	Afu2g15230	AN10950	An09g03500
OG0002724	F9C07_1506213, F9C07_2234498	Afu6g02340	AN8695	
OG0002725	F9C07_3463	Afu2g15240	AN7597, AN8374	
OG0002726	F9C07_2068295	Afu2g15255	AN7596	An09g03510
OG0002727	F9C07_1506473	Afu2g15330		An01g07730, An09g02340
OG0002728	F9C07_3470	Afu2g15340	AN7592	An09g03600
OG0002729	F9C07_1506477	Afu2g15360	AN10969	An09g03620
OG0002730	F9C07_3474	Afu2g15110	AN7580	An15g02960
OG0002731	F9C07_1507494, F9C07_9221	Afu5g14190	AN2664	
OG0002732	F9C07_3499	Afu2g17580	AN10049	An08g09920
OG0002733	F9C07_2067841	Afu6g09590	AN10947	An11g07750
OG0002734	F9C07_1065585, F9C07_3518	Afu1g11400		An09g00820
OG0002735	F9C07_2283142	Afu5g14550	AN2463, AN3201	
OG0002736	F9C07_2283143	Afu1g09010	AN1380	An08g00510
OG0002737	F9C07_3546	Afu2g14870	AN7558	An15g03380
OG0002738	F9C07_3548	Afu2g14880	AN7559	An15g03370
OG0002739	F9C07_1508369	Afu2g14890	AN11755	An15g03360
OG0002740	F9C07_3550	Afu2g14900	AN7560	An15g03350
OG0002741	F9C07_3551	Afu2g14905	AN7561	An15g03340
OG0002742	F9C07_2283154	Afu2g14910	AN7562	An15g03330
OG0002743	F9C07_2283155	Afu2g14920	AN7563	An15g03280
OG0002744	F9C07_3559	Afu2g14940	AN7565	An15g03240
OG0002745	F9C07_2283162	Afu2g14950	AN7566	An15g03230
OG0002746	F9C07_3561, F9C07_3832	Afu6g07190		An12g05250
OG0002747	F9C07_2156032	Afu2g14960	AN7567	An15g03220
OG0002748	F9C07_2283168	Afu2g14970	AN7568	An15g03210
OG0002749	F9C07_2156041	Afu2g14980	AN7569	An15g03200
OG0002750	F9C07_1509324	Afu2g15000	AN7571	An15g03150
OG0002751	F9C07_2283172	Afu2g15010	AN7572	An15g03140
OG0002752	F9C07_1508587	Afu2g15040	AN7577	An15g03080
OG0002753	F9C07_3574	Afu2g15050	AN7576	An15g03040
OG0002754	F9C07_1509956	Afu2g15060	AN7578	An15g03030
OG0002755	F9C07_3576	Afu2g15070	AN7579	An15g03020
OG0002756	F9C07_2283182	Afu6g02920	AN8769	An12g07570
OG0002757	F9C07_3582	Afu6g02900	AN11113	An12g07590
OG0002758	F9C07_3583	Afu1g14230	AN0736	An01g12240
OG0002759	F9C07_2283186	Afu1g14220	AN0745	An01g12230
OG0002760	F9C07_2283187	Afu1g14210	AN0746	An01g12220
OG0002761	F9C07_3586	Afu1g14200	AN0747	An01g12210
OG0002762	F9C07_2283192	Afu8g01190	AN8405	An14g02040
OG0002763	F9C07_2283193	Afu1g14180	AN0757	An01g12180
OG0002764	F9C07_3597	Afu1g14150	AN0754	An01g11990
OG0002765	F9C07_2283196	Afu1g14120	AN0753	An01g11960
OG0002766	F9C07_2283197	Afu1g14110	AN0752	An01g11950
OG0002767	F9C07_3601	Afu1g14080	AN0751	An01g11940
OG0002768	F9C07_3602	Afu1g14090	AN0717	An01g11930
OG0002769	F9C07_3605	Afu1g14070	AN0715	An01g11910
OG0002770	F9C07_3606	Afu1g14060	AN0714	An01g11900
OG0002771	F9C07_2156159, F9C07_7067	Afu2g00150	AN3537	
OG0002772	F9C07_3611	Afu2g00130	AN3535	An16g00860
OG0002773	F9C07_2283213	Afu1g13960	AN0725	An08g07100
OG0002774	F9C07_2069252	Afu1g13970	AN10115	An08g07110
OG0002775	F9C07_3622	Afu1g14010	AN0722	An08g07200
OG0002776	F9C07_3624	Afu1g14020	AN0720	An08g07220
OG0002777	F9C07_2232271	Afu1g14030	AN0719	An08g07230
OG0002778	F9C07_3631		AN5419	An01g01170, An18g02752
OG0002779	F9C07_3633	Afu1g13940	AN0726	An08g07090
OG0002780	F9C07_2069292	Afu1g13930	AN9438	An08g07080
OG0002781	F9C07_2232280	Afu1g13920	AN9437	An08g07070
OG0002782	F9C07_3637	Afu1g13910	AN9436	An08g07060
OG0002783	F9C07_2283226	Afu1g13900	AN12419	An08g07050
OG0002784	F9C07_3639	Afu1g13890	AN0727	An08g07040
OG0002785	F9C07_3640	Afu1g13880	AN0728	An08g07030
OG0002786	F9C07_3641	Afu1g13870	AN10118	An08g07020
OG0002787	F9C07_1511874	Afu1g13850	AN12216	An08g07000
OG0002788	F9C07_3646	Afu1g13790	AN0733	An08g06960
OG0002789	F9C07_2283237	Afu1g13750	AN0709	An08g06850
OG0002790	F9C07_3654	Afu1g13730	AN0707	An08g06790
OG0002791	F9C07_3655	Afu1g13720	AN0706	An08g06780
OG0002792	F9C07_2256489	Afu1g13710	AN0705	An08g06770
OG0002793	F9C07_2283242	Afu1g13700	AN0704	An08g06760
OG0002794	F9C07_3658	Afu1g13690	AN0703	An08g06750
OG0002795	F9C07_2232303	Afu1g13680	AN10113	An08g06740
OG0002796	F9C07_2232304	Afu1g13670	AN10109	An08g06730
OG0002797	F9C07_3665	Afu1g13610	AN0698	An08g06690
OG0002798	F9C07_3667	Afu1g13590	AN0697	An08g06670
OG0002799	F9C07_2068566	Afu1g13580	AN0696	An08g06660
OG0002800	F9C07_3670	Afu1g13560	AN0694	An08g06630
OG0002801	F9C07_3671	Afu1g13550	AN0693	An08g06620
OG0002802	F9C07_2283256	Afu1g13540	AN0692	An08g06610
OG0002803	F9C07_2283257	Afu1g13530	AN0691	An08g06600
OG0002804	F9C07_3674	Afu1g13520	AN0690	An08g06590
OG0002805	F9C07_2283259	Afu1g13510	AN0689	An08g06580
OG0002806	F9C07_2202707	Afu1g13490	AN0687	An08g06560
OG0002807	F9C07_3680	Afu1g13480	AN12213	An08g06550
OG0002808	F9C07_3681	Afu1g13470	AN0686	An08g06540
OG0002809	F9C07_1514050	Afu1g13460	AN0685	An08g06530
OG0002810	F9C07_2068304	Afu1g13450	AN0684	An08g06520
OG0002811	F9C07_1517739	Afu1g13430	AN0682	An09g02840
OG0002812	F9C07_2156436	Afu1g13420	AN10111	An08g06500
OG0002813	F9C07_3685	Afu1g13390	AN0676	An08g06460
OG0002814	F9C07_2232332	Afu1g13380	AN10110	An08g06450
OG0002815	F9C07_1518078	Afu1g13340	AN0674	An08g06420
OG0002816	F9C07_3694	Afu1g13330	AN0673	An08g06400
OG0002817	F9C07_2283277	Afu1g13300	AN0670	An08g06370
OG0002818	F9C07_2106287	Afu1g13290	AN0668	An08g06360
OG0002819	F9C07_3701	Afu1g13260	AN0665	An08g06330
OG0002820	F9C07_3702	Afu1g13250	AN0664	An08g06320
OG0002821	F9C07_2156587	Afu1g13240	AN0662	An08g06270
OG0002822	F9C07_2941, F9C07_3707		AN12423, AN6917	
OG0002823	F9C07_2283286	Afu1g13200	AN0659	An08g06230
OG0002824	F9C07_2283288	Afu1g13195	AN11278	An08g06220
OG0002825	F9C07_2283289	Afu1g13190	AN0658	An08g06210
OG0002826	F9C07_3713	Afu1g13180	AN0657	An08g06200
OG0002827	F9C07_2106302	Afu1g13170	AN0655	An08g06170
OG0002828	F9C07_3717	Afu1g13150	AN0653	An08g06150
OG0002829	F9C07_1520014	Afu1g13100	AN10112	An08g06090
OG0002830	F9C07_3724	Afu1g13070	AN0647	An08g06060
OG0002831	F9C07_3725	Afu1g13060	AN0646	An08g06050
OG0002832	F9C07_3726	Afu1g13050	AN0644	An08g06030
OG0002833	F9C07_3727	Afu1g13040	AN10138	An08g05970
OG0002834	F9C07_2232373	Afu1g13030	AN10141	An08g05960
OG0002835	F9C07_2106316	Afu1g13010	AN1024	An08g05920
OG0002836	F9C07_3733	Afu1g13020	AN1023	An08g05910
OG0002837	F9C07_3734	Afu1g12990	AN1022	An08g05900
OG0002838	F9C07_2283308	Afu1g12980	AN1021	An08g05890
OG0002839	F9C07_2156683	Afu1g12960	AN1019	An08g05870
OG0002840	F9C07_3738	Afu1g12950	AN1018	An08g05860
OG0002841	F9C07_3740	Afu1g12920	AN1015	An08g05790
OG0002842	F9C07_3741	Afu1g12910	AN1014	An08g05780
OG0002843	F9C07_2256575	Afu1g12900	AN10140	An08g05760
OG0002844	F9C07_3755	Afu1g12890	AN1013	An08g05730
OG0002845	F9C07_3758	Afu1g12880	AN1012	An08g05720
OG0002846	F9C07_2283325	Afu1g12875	AN1011	An08g05700
OG0002847	F9C07_3762	Afu1g12870	AN1010	An08g05690
OG0002848	F9C07_3763	Afu1g12860	AN1009	An08g05680
OG0002849	F9C07_3766	Afu1g12830	AN1006	An08g05610
OG0002850	F9C07_3767	Afu1g12820	AN1005	An09g02770
OG0002851	F9C07_2283330	Afu1g12810	AN1004	An08g05590
OG0002852	F9C07_3771	Afu1g12790	AN1002	An08g05570
OG0002853	F9C07_3772	Afu1g12780	AN1000	An08g05560
OG0002854	F9C07_3773	Afu1g12770	AN1001	An08g05540
OG0002855	F9C07_1389798, F9C07_3776, F9C07_4755		AN2366	
OG0002856	F9C07_3778	Afu1g12760	AN0999	An08g05530
OG0002857	F9C07_2232425	Afu1g12750	AN0998	An08g05520
OG0002858	F9C07_3781	Afu1g12730	AN0997	An08g05500
OG0002859	F9C07_3782	Afu1g12720	AN0996	An08g05490
OG0002860	F9C07_2244079	Afu1g12700	AN0995	An08g05470
OG0002861	F9C07_2283347	Afu3g14090	AN2498	An09g04540
OG0002862	F9C07_2232432	Afu3g14100	AN2499	An09g04530
OG0002863	F9C07_3790	Afu3g14120	AN2501	An09g04510
OG0002864	F9C07_1526094	Afu3g14110	AN2500	An09g04520
OG0002865	F9C07_3795	Afu3g14150	AN2505	An09g04440
OG0002866	F9C07_2283361	Afu3g14190	AN10481	An09g04370
OG0002867	F9C07_3801	Afu3g14200		An09g04335, An09g04360
OG0002868	F9C07_1526596, F9C07_2171872	Afu5g09330		An07g03660
OG0002869	F9C07_1527235		AN11959	An02g11820, An03g00380
OG0002870	F9C07_2149046, F9C07_2157021			An02g00110, An11g10340
OG0002871	F9C07_3851		AN4964	An06g02370, An16g00530
OG0002872	F9C07_2283404	Afu1g12640	AN1049	An08g05390
OG0002873	F9C07_3855	Afu1g12660	AN1027	An08g05410
OG0002874	F9C07_1528170	Afu1g12670	AN1026	An08g05420
OG0002875	F9C07_3857	Afu1g12680	AN1025	An08g05440
OG0002876	F9C07_3861	Afu3g14060	AN2497	An09g04580
OG0002877	F9C07_3862	Afu3g14050	AN2496	An09g04590
OG0002878	F9C07_3863	Afu3g14040	AN2495	An09g04600
OG0002879	F9C07_3866	Afu3g14020	AN2492	An09g04620
OG0002880	F9C07_2202802	Afu3g14010	AN2491	An09g04640
OG0002881	F9C07_3868	Afu3g14000	AN2490	An09g04650
OG0002882	F9C07_1528712	Afu3g13990	AN2489	An09g04660
OG0002883	F9C07_3871	Afu3g13980	AN12366	An09g04680
OG0002884	F9C07_2283420	Afu3g13970	AN3188	An09g04710
OG0002885	F9C07_2283421	Afu3g13950	AN3187	An09g04730
OG0002886	F9C07_3878	Afu6g02990	AN8759	An16g06630
OG0002887	F9C07_11765, F9C07_2071445, F9C07_2232515		AN8760	
OG0002888	F9C07_3892	Afu3g13940	AN3143	An09g04780
OG0002889	F9C07_3895	Afu3g13930	AN3145	An09g04790
OG0002890	F9C07_1530001	Afu3g13920	AN3154	An02g09740
OG0002891	F9C07_3899	Afu3g13910	AN11377	An02g09730
OG0002892	F9C07_2232535	Afu3g13890	AN3151	An02g09710
OG0002893	F9C07_1530632	Afu3g13870	AN3152	An02g09610
OG0002894	F9C07_1530817	Afu3g13770	AN3144	An02g09460
OG0002895	F9C07_3911	Afu3g13790	AN10367	An02g09470
OG0002896	F9C07_3913	Afu3g13820	AN3147	An02g09550
OG0002897	F9C07_3914	Afu3g13830	AN3148	An09g02740
OG0002898	F9C07_3915	Afu3g13840	AN3149	An09g02730
OG0002899	F9C07_1794382, F9C07_2157298	Afu3g13460		An02g09330
OG0002900	F9C07_3918	Afu3g13465	AN3158	An02g09340
OG0002901	F9C07_2283454	Afu3g13470	AN3157	An02g09350
OG0002902	F9C07_2283455	Afu3g13480	AN3156	An02g09370
OG0002903	F9C07_2283456	Afu3g13490	AN3155	An02g09390
OG0002904	F9C07_2283457	Afu3g13850	AN3153	An02g09560
OG0002905	F9C07_2283458	Afu3g13440	AN3163	An02g09310
OG0002906	F9C07_3924	Afu3g13430	AN3164	An02g09300
OG0002907	F9C07_3925	Afu3g13420	AN3165	An02g09290
OG0002908	F9C07_1532071	Afu3g13410	AN3166	An02g09280
OG0002909	F9C07_2068694	Afu3g13400	AN3167	An02g09260
OG0002910	F9C07_2069770	Afu3g13390	AN3168	An02g09250
OG0002911	F9C07_3932	Afu3g13380	AN3169	An02g09240
OG0002912	F9C07_3933	Afu3g13370	AN12304	An12g07360
OG0002913	F9C07_1532824	Afu3g13360	AN11709	An02g09230
OG0002914	F9C07_3934	Afu3g13350	AN3170	An02g09220
OG0002915	F9C07_3935	Afu3g13340	AN3171	An02g09210
OG0002916	F9C07_3936	Afu3g13320	AN3172	An02g09200
OG0002917	F9C07_3937	Afu3g13310	AN3173	An02g09190
OG0002918	F9C07_3939	Afu3g13300	AN10382	An02g09180
OG0002919	F9C07_1533706	Afu3g13280	AN3176	An02g09170
OG0002920	F9C07_3941	Afu3g13270	AN3177	An02g09160
OG0002921	F9C07_3942	Afu3g13260	AN3186	An02g09150
OG0002922	F9C07_3943	Afu3g13250	AN3185	An02g09100
OG0002923	F9C07_2232578	Afu3g13230	AN3183	An02g09080
OG0002924	F9C07_3946	Afu3g13220	AN3182	An02g09070
OG0002925	F9C07_3947	Afu3g13210	AN3181	An02g09060
OG0002926	F9C07_3949	Afu3g13180	AN3180	An02g09040
OG0002927	F9C07_1533178	Afu3g13160	AN3179	An02g09030
OG0002928	F9C07_2283480	Afu3g13150	AN3178	An02g09020
OG0002929	F9C07_3954	Afu3g13110	AN3141	An02g09010
OG0002930	F9C07_3955	Afu3g13100	AN3142	An02g09000
OG0002931	F9C07_1532781	Afu3g13090	AN3140	An02g08990
OG0002932	F9C07_2157421	Afu3g13070	AN3137	An02g08950
OG0002933	F9C07_2232592	Afu3g13060	AN3136	An02g08940
OG0002934	F9C07_3960	Afu3g13040	AN3135	An02g08930
OG0002935	F9C07_2283486	Afu3g13030	AN3134	An02g08920
OG0002936	F9C07_3964	Afu3g13000	AN3131	An02g08900
OG0002937	F9C07_1534597	Afu3g12990	AN3130	An02g08890
OG0002938	F9C07_2067503	Afu3g12870	AN10355	An02g08870
OG0002939	F9C07_2106543	Afu3g12840	AN10354	An01g00560
OG0002940	F9C07_3972	Afu3g12820	AN3124	An02g08840
OG0002941	F9C07_2283497	Afu3g12810	AN3123	An02g08830
OG0002942	F9C07_2283498	Afu3g12800	AN3122	An02g08820
OG0002943	F9C07_3977	Afu3g12770	AN3119	An02g08750
OG0002944	F9C07_3980	Afu3g12750	AN3118	An02g08730
OG0002945	F9C07_2283502	Afu3g12730	AN3116	An02g08700
OG0002946	F9C07_2283503	Afu3g12710	AN3114	An02g08680
OG0002947	F9C07_2157492	Afu3g12670	AN3110	An02g08630
OG0002948	F9C07_3989	Afu3g12660	AN3108	An02g08620
OG0002949	F9C07_2232624	Afu6g02450	AN8705	An11g01690
OG0002950	F9C07_2283515	Afu1g09790	AN1286	An08g01600
OG0002951	F9C07_2283516	Afu1g09780	AN1287	An08g01590
OG0002952	F9C07_3998	Afu1g09770	AN1288	An08g01580
OG0002953	F9C07_3999	Afu1g09760	AN10171	An08g01560
OG0002954	F9C07_4000	Afu1g09757	AN10178	An08g01550
OG0002955	F9C07_4005	Afu1g09720	AN1293	An08g01500
OG0002956	F9C07_2090634	Afu1g09690	AN1296	An08g01480
OG0002957	F9C07_2283524	Afu1g09680	AN1297	An08g01410
OG0002958	F9C07_1539664	Afu1g09670	AN1298	An08g01380
OG0002959	F9C07_1539218	Afu1g09660	AN10172	An08g01370
OG0002960	F9C07_2283527	Afu1g09650	AN10179	An08g01360
OG0002961	F9C07_1392038, F9C07_4014			An02g05930, An16g01290
OG0002962	F9C07_2157594	Afu1g09640	AN1324	An08g01240
OG0002963	F9C07_4034	Afu1g09630	AN1325	An08g01230
OG0002964	F9C07_4035	Afu1g09620	AN1326	An08g01210
OG0002965	F9C07_2232669	Afu1g09610	AN1327	An08g01200
OG0002966	F9C07_4037	Afu1g09600	AN1328	An08g01190
OG0002967	F9C07_4039	Afu1g09580	AN1331	An08g01170
OG0002968	F9C07_2283552	Afu1g09570	AN1336	An08g01160
OG0002969	F9C07_2232674	Afu1g09560	AN1335	An08g01150
